name,city,state,phone,address,host,url,why,source
Kokomo Grain Co.,Kokomo,IN,(765) 457-7211,,kokomograin.com,https://kokomograin.com/,kokomograin.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (66672 bytes),barchart
Kokomo Grain Co.,Winamac,IN,(574) 946-6101,,kokomograin.com,https://kokomograin.com/,kokomograin.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (66672 bytes),barchart
Kokomo Grain Co.,Anderson,IN,765-754-7541,,kokomograin.com,https://kokomograin.com/,kokomograin.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (66672 bytes),barchart
Primient Grain,Fowler,IN,765-884-1250,,primientgrain.com,https://primientgrain.com/,primientgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (35112 bytes),barchart
Primient Grain,Francesville,IN,219-567-9131,,primientgrain.com,https://primientgrain.com/,primientgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (35112 bytes),barchart
Primient Grain,Lafayette,IN,765-477-5365,,primientgrain.com,https://primientgrain.com/,primientgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (35112 bytes),barchart
Kokomo Grain Co.,Amboy,IN,(765) 395-7787,,kokomograin.com,https://kokomograin.com/,kokomograin.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (66672 bytes),barchart
Wheatfield Grain,Fair Oaks,IN,(219) 956-3151,,wheatfieldgrain.com,https://wheatfieldgrain.com/,wheatfieldgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (49626 bytes),barchart
Wheatfield Grain,Morocco,IN,(219) 285-2055,,wheatfieldgrain.com,https://wheatfieldgrain.com/,wheatfieldgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (49626 bytes),barchart
Wheatfield Grain,Rensselaer,IN,(219) 866-3164,,wheatfieldgrain.com,https://wheatfieldgrain.com/,wheatfieldgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (49626 bytes),barchart
Wheatfield Grain,Wheatfield,IN,(219) 956-3151,,wheatfieldgrain.com,https://wheatfieldgrain.com/,wheatfieldgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (49626 bytes),barchart
Ag Partners Coop,Topeka,KS,785-235-3494,,agpartnerscoop.com,https://www.agpartnerscoop.com/,agpartnerscoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (72507 bytes),barchart
Ag Partners Coop,Seneca,KS,785-336-3141,,agpartnerscoop.com,https://www.agpartnerscoop.com/,agpartnerscoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (72507 bytes),barchart
Bartlett Co-op Assn,Bartlett,KS,620-226-3322,,bartlettco.com,https://bartlettco.com/,bartlettco.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (61297 bytes),barchart
Cardinal Ethanol,Colwich,KS,(316) 789-2500,,cardinalethanol.com,https://www.cardinalethanol.com/,cardinalethanol.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (98108 bytes),barchart
Kanza Coop,Iuka,KS,(620) 546-2231,,kanzacoop.com,https://www.kanzacoop.com/,kanzacoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (63413 bytes),barchart
"Home City Grain, Inc.",Wakefield,KS,7854615712,,homecitygrain.com,https://www.homecitygrain.com/,homecitygrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (46646 bytes),barchart
Producer Ag,Moundridge,KS,620-345-6328,,producerag.com,https://www.producerag.com/,producerag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (42445 bytes),barchart
Stafford County Flour Mills,Hudson,KS,620-458-4121,,staffordcountyflourmills.com,http://www.hudsoncream.com/,staffordcountyflourmills.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 4 word(s) of the business name appear (95053 bytes),barchart
"Turon Mill & Elevator, Inc.",Turon,KS,620-497-6417,,turonmill.com,https://turonmill.com/,turonmill.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (72253 bytes),barchart
CHS - Ag Terminals,Fairmont,MN,800-652-9727,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Kasson,MN,507-634-7545,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Mankato,MN,800-652-9727,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Ostrander,MN,507-657-2234,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Savage,MN,651-355-6599,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Winona,MN,507-452-1993,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
CHS - Ag Terminals,Wykoff,MN,507-352-5281,,chsag.com,https://chsag.com/,chsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (50763 bytes),barchart
"Harmony Agri Services, Inc.",Harmony,MN,5078866062,,harmonyagri.com,https://harmonyagri.com/,harmonyagri.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (283050 bytes),barchart
Munson Lakes Nutrition,Howard Lake,MN,800-245-7717,,munsonlakes.com,https://www.munsonlakes.com/,munsonlakes.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (114458 bytes),barchart
"TDS Fertilizer, Inc.",Fertile,MN,218-945-3111,,tdsfertilizer.com,https://tdsfertilizer.com/,tdsfertilizer.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (167366 bytes),barchart
Whitewater Milling LLC,Utica,MN,507-524-2326,,whitewatermilling.com,https://whitewatermilling.com/,whitewatermilling.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (140173 bytes),barchart
JBS Live Pork,Centralia,MO,(855)505-5165,,jbslivepork.com,https://jbslivepork.com/,jbslivepork.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (53319 bytes),barchart
"Majestic Milling Company, LLC",Exeter,MO,(417) 847-6247,13164 Farm Road 1005,majesticmilling.com,https://www.majesticmilling.com/,majesticmilling.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (385778 bytes),registry-mo
"Main Street Feeds, Inc.",Monett,MO,(417) 235-6680,109 Main Street,mainstreetfeeds.com,https://mainstreetfeeds.com/,mainstreetfeeds.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (84467 bytes),registry-mo
Mid-Missouri Energy,Malta Bend,MO,660-595-0144,,midmissourienergy.com,https://midmissourienergy.com/,midmissourienergy.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (74684 bytes),barchart
"Opal Foods, LLC",Neosho,MO,(417) 455-5045,900 Malcom Mosby,opalfoods.com,https://www.opal-foods.com/,opalfoods.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (186639 bytes),registry-mo
Mountain View Co-op,Dutton,MT,(406) 753-2530,,mountainviewcoop.com,https://mvc.ag/,mountainviewcoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (273870 bytes),barchart
CHS Dakota Plains Ag,Gwinner,ND, 701-538-4585,,chsdakotaplainsag.com,https://www.chsdakotaplainsag.com/,chsdakotaplainsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (60510 bytes),barchart
CHS - Dakota Plains Ag,Kindred,ND,701-428-3135,,chsdakotaplainsag.com,https://www.chsdakotaplainsag.com/,chsdakotaplainsag.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (60510 bytes),barchart
CHS - SunPrairie Grain,Minot,ND,(701) 857-9318,,chssunprairie.com,https://www.chssunprairie.com/,chssunprairie.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (58090 bytes),barchart
CHS - South Central,Napoleon,ND,(701) 754-2573,,chssouthcentral.com,https://www.chssouthcentral.com/,chssouthcentral.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (58835 bytes),barchart
"Lighthouse Commodities, LLC",Bismarck,ND,,4719 Shelburne St STE 9,lighthousecommodities.com,https://www.lighthousecommodities.com/,lighthousecommodities.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (400000 bytes),registry-wi
CHS - Garrison,Garrison,ND,701-463-2244,,chsgarrison.com,https://www.chsgarrison.com/,chsgarrison.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (57408 bytes),barchart
Maple River Grain,Casselton,ND,+1 800-568-5402,,maplerivergrain.com,https://www.mrga.com/,maplerivergrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (55953 bytes),barchart
Plains Grain & Agronomy,Sheldon,ND,701-882-3236,,plainsgrain.com,https://plainsgrain.com/,plainsgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (160991 bytes),barchart
Plains Grain & Agronomy,Lisbon,ND,701-683-4161,,plainsgrain.com,https://plainsgrain.com/,plainsgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (160991 bytes),barchart
Sunrise Foods International (USA) Inc.,Pender,NE,(306) 657-5796,302 Main Street,sunrisefoods.com,https://www.sunrisefoods.com/,sunrisefoods.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (275865 bytes),registry-mo
CENTERRA CO-OP,GRAFTON,OH,,951 MECHANIC STREET,centerracoop.com,https://www.centerracoop.com/,centerracoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (259242 bytes),registry-oh
Gerald Grain Center,Hamler,OH,(419) 274-8040,,geraldgrain.com,https://geraldgrain.com/,geraldgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (58890 bytes),barchart
"GUARDIAN LIMA, LLC",LIMA,OH,,2485 HOUX PARKWAY,guardianlima.com,https://www.guardiannrg.com/,guardianlima.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (36375 bytes),registry-oh
"HEARTLAND FEED SERVICES, LLC",CELINA,OH,,"P.O. BOX 328, 426 W. MARKET ST.",heartlandfeedservices.com,https://heartlandfeedservices.com/,heartlandfeedservices.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (309183 bytes),registry-oh
"HEARTLAND FEED SERVICES, LLC",MINSTER,OH,,"P.O. BOX 328, 426 W. MARKET ST.",heartlandfeedservices.com,https://heartlandfeedservices.com/,heartlandfeedservices.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (309183 bytes),registry-oh
Heritage Cooperative,Upper Sandusky,OH,419-294-2371,,heritagecooperative.com,https://www.heritagecooperative.com/,heritagecooperative.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (75639 bytes),barchart
Heritage Cooperative,Marysville,OH,937-553-9870,,heritagecooperative.com,https://www.heritagecooperative.com/,heritagecooperative.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (75639 bytes),barchart
Heritage Cooperative,Kenton,OH,419-674-4045,,heritagecooperative.com,https://www.heritagecooperative.com/,heritagecooperative.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (75639 bytes),barchart
JEWELL GRAIN CO.,HICKSVILLE,OH,,259 EAST HIGH STREET,jewellgrain.com,https://jewellgrain.com/,jewellgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (76123 bytes),registry-oh
JEWELL GRAIN CO.,OKOLONA,OH,,M937 ROAD 17D,jewellgrain.com,https://jewellgrain.com/,jewellgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (76123 bytes),registry-oh
JEWELL GRAIN CO.,JEWELL,OH,,"PO BOX 30008, 8049 INDEPENDENCE RD.",jewellgrain.com,https://jewellgrain.com/,jewellgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (76123 bytes),registry-oh
Legacy Farmers Coop ,Deshler,OH,419-278-3015,,legacyfarmers.com,https://legacyfarmers.com/,legacyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (63181 bytes),barchart
Legacy Farmers Coop ,Fostoria,OH,800-435-4763,,legacyfarmers.com,https://legacyfarmers.com/,legacyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (63181 bytes),barchart
Legacy Farmers Coop ,McComb,OH,(419) 293-2311,,legacyfarmers.com,https://legacyfarmers.com/,legacyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (63181 bytes),barchart
Legacy Farmers Coop ,Custar,OH,419-669-3069,,legacyfarmers.com,https://legacyfarmers.com/,legacyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (63181 bytes),barchart
Legacy Farmers Coop ,Findlay,OH,(419) 859-2172,,legacyfarmers.com,https://legacyfarmers.com/,legacyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (62729 bytes),barchart
"Luckey Farmers, Inc.",Cygnet,OH,(567) 316-1544,,luckeyfarmers.com,https://luckeyfarmers.com/,luckeyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (210171 bytes),barchart
"Luckey Farmers, Inc.",Graytown,OH,(419) 862-3213,,luckeyfarmers.com,https://luckeyfarmers.com/,luckeyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (210171 bytes),barchart
"Luckey Farmers, Inc.",Bascom,OH,(419) 937-2233,,luckeyfarmers.com,https://luckeyfarmers.com/,luckeyfarmers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (210171 bytes),barchart
Kalmbach Feeds,Upper Sandusky,OH,419-294-3838 ext.5,,kalmbachfeeds.com,https://www.kalmbachfeeds.com/,kalmbachfeeds.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (234191 bytes),barchart
Shawnee Milling Co,Shawnee,OK,405-214-3333,,shawneemilling.com,https://shawneemilling.com/,shawneemilling.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (55271 bytes),barchart
Agtegra,Roscoe,SD,605-287-4311,,agtegra.com,https://www.agtegra.com/,agtegra.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (76826 bytes),barchart
